domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-volatile-s11008-v0,ratio_threshold_2_0,100,983.851,735.38,0.13,0.13,29.13,0,1351.541
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-balanced-s11009-v0,ratio_threshold_1_25,100,521.1045,414.4,0.32,0.32,42.17,0,728.3045
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-balanced-s11009-v0,dynamic_reserve,100,620.174,513.46,0.01,0.01,49.96,0,876.904
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-balanced-s11009-v0,ratio_threshold_2_0,100,571.519,365.0,0.04,0.04,49.72,0,754.019
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-bulky-s11010-v0,ratio_threshold_1_25,100,531.7995,421.0,0.14,0.14,44.84,0,742.2995
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-bulky-s11010-v0,dynamic_reserve,100,612.731,533.52,0.04,0.04,49.37,0,879.491
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-bulky-s11010-v0,ratio_threshold_2_0,100,633.388,549.4,0.11,0.11,48.05,0,908.088
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-volatile-s11011-v0,ratio_threshold_1_25,100,851.447,596.11,0.25,0.25,44.23,0,1149.502
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-volatile-s11011-v0,dynamic_reserve,100,976.13,766.59,0.22,0.22,45.96,0,1359.425
or_gym_online_knapsack,ExternalKnapsack-development-c300-h50-volatile-s11011-v0,ratio_threshold_2_0,100,1012.3035,809.98,0.28,0.28,45.53,0,1417.2935
